Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#404,Ray Lee Hunt,$4.9 B,75,"oil, real estate",United States,4.9
#404,Liu Yonghao,$4.9 B,66,agribusiness,China,4.9
#404,John Overdeck,$4.9 B,48,hedge funds,United States,4.9
#404,Ajay Piramal,$4.9 B,62,pharmaceuticals,India,4.9
#404,"Enrique Razon, Jr.",$4.9 B,58,ports,Philippines,4.9
#404,Sumner Redstone,$4.9 B,95,media,United States,4.9
#404,Paolo & Gianfelice Mario Rocca,$4.9 B,-,pipe manufacturing,Italy,4.9
#404,Reinhold Schmieding,$4.9 B,63,medical devices,United States,4.9
#404,David Siegel,$4.9 B,56,hedge funds,United States,4.9
#404,Andrei Skoch,$4.9 B,52,steel,Russia,4.9
#404,Yu Yong,$4.9 B,57,mining,China,4.9
#404,Sam Zell,$4.9 B,76,"real estate, private equity",United States,4.9
#404,Zhou Jianping,$4.9 B,58,fashion retail,China,4.9
#422,Bajaj brothers,$4.8 B,-,diversified,India,4.8
#422,Garrett Camp,$4.8 B,39,Uber,Canada,4.8
#422,Bubba Cathy,$4.8 B,64,Chick-fil-A,United States,4.8
#422,Dan Cathy,$4.8 B,65,Chick-fil-A,United States,4.8
#422,Fu Liquan,$4.8 B,50,surveillance equipment,China,4.8
#422,Philip & Cristina Green,$4.8 B,66,fashion retail,United Kingdom,4.8
#422,Mikhail Gutseriev,$4.8 B,60,"oil, real estate",Russia,4.8
#422,"Rupert Johnson, Jr.",$4.8 B,77,money management,United States,4.8
#422,Travis Kalanick,$4.8 B,41,Uber,United States,4.8
#422,Andrei Kozitsyn,$4.8 B,58,metals,Russia,4.8
#422,Horst Paulmann,$4.8 B,83,retail,Chile,4.8
#422,Julio Ponce Lerou,$4.8 B,72,fertilizer,Chile,4.8
#422,Trevor Rees-Jones,$4.8 B,66,oil & gas,United States,4.8
#422,Mark Scheinberg,$4.8 B,44,online gambling,Canada,4.8
#422,Jeffrey Skoll,$4.8 B,53,eBay,United States,4.8
#422,Murat Ulker,$4.8 B,59,food,Turkey,4.8
#422,Daniel Ziff,$4.8 B,46,investments,United States,4.8
#422,Dirk Ziff,$4.8 B,54,investments,United States,4.8
#422,Robert Ziff,$4.8 B,51,investments,United States,4.8
#441,Juergen Blickle,$4.7 B,71,auto parts,Germany,4.7
#441,Bernard Broermann,$4.7 B,74,hospitals,Germany,4.7
#441,Clive Calder,$4.7 B,71,record label,United Kingdom,4.7
#441,Stanley Druckenmiller,$4.7 B,65,hedge funds,United States,4.7
#441,Ted Lerner,$4.7 B,92,real estate,United States,4.7
#441,Li Shuirong,$4.7 B,61,petrochemicals,China,4.7
#441,Lim Kok Thay,$4.7 B,66,casinos,Malaysia,4.7
#441,Niels Peter Louis-Hansen,$4.7 B,70,medical devices,Denmark,4.7
#441,Fredrik Lundberg,$4.7 B,66,"real estate, investments",Sweden,4.7
#441,Gwendolyn Sontheim Meyer,$4.7 B,56,Cargill,United States,4.7
#441,J. Christopher Reyes,$4.7 B,64,food distribution,United States,4.7
#441,Jude Reyes,$4.7 B,62,food distribution,United States,4.7
#441,Alexandra Schoerghuber,$4.7 B,59,real estate,Germany,4.7
#441,Sheldon Solow,$4.7 B,89,real estate,United States,4.7
#441,Lucio Tan,$4.7 B,83,diversified,Philippines,4.7
#456,Majid Al Futtaim,$4.6 B,-,"real estate, retail",United Arab Emirates,4.6
#456,Andrej Babis,$4.6 B,63,agriculture,Czech Republic,4.6
#456,Dona Bertarelli,$4.6 B,50,biotech,Switzerland,4.6
#456,Cai Kui,$4.6 B,55,real estate,China,4.6
#456,Bidzina Ivanishvili,$4.6 B,62,investments,Georgia,4.6
#456,"Jeremy Jacobs, Sr.",$4.6 B,78,concessions,United States,4.6
#456,Chris Larsen,$4.6 B,58,cryptocurrency,United States,4.6
#456,Patrick Lee,$4.6 B,76,paper,Hong Kong,4.6
#456,Liang Wengen,$4.6 B,61,construction equipment,China,4.6
#456,Denis O'Brien,$4.6 B,60,telecom,Ireland,4.6
#466,Kapil & Rahul Bhatia,$4.5 B,-,airlines,India,4.5
#466,Jean-Pierre Cayard,$4.5 B,75,spirits,France,4.5
#466,Chey Tae-Won,$4.5 B,57,"IT, telecom",South Korea,4.5
#466,Fang Wei,$4.5 B,44,steel,China,4.5
#466,Andrei Guriev,$4.5 B,58,fertilizers,Russia,4.5
#466,Bertil Hult,$4.5 B,77,education,Sweden,4.5
#466,Ji Changqun,$4.5 B,50,real estate,China,4.5
#466,"Paul Tudor Jones, II.",$4.5 B,63,hedge funds,United States,4.5
#466,Robert Miller,$4.5 B,85,retail,United Kingdom,4.5
#466,Sergei Popov,$4.5 B,46,banking,Russia,4.5
#466,Juan Roig,$4.5 B,68,supermarkets,Spain,4.5
#466,John Sall,$4.5 B,70,software,United States,4.5
#466,Leonard Stern,$4.5 B,80,real estate,United States,4.5
#466,Ye Chenghai,$4.5 B,74,pharmaceuticals,Hong Kong,4.5
#480,Anthony Bamford,$4.4 B,72,construction equipment,United Kingdom,4.4
#480,Chu Mang Yee,$4.4 B,58,real estate,China,4.4
#480,Juan Carlos Escotet,$4.4 B,58,banking,Venezuela,4.4
#480,Miguel Fluxa Rossello,$4.4 B,79,hotels,Spain,4.4
#480,Andrew Forrest,$4.4 B,56,mining,Australia,4.4
#480,Paul Gauselmann,$4.4 B,83,gambling,Germany,4.4
#480,Tamara Gustavson,$4.4 B,56,self storage,United States,4.4
#480,Micky Jagtiani,$4.4 B,66,retail,India,4.4
#480,Johan Johannson,$4.4 B,51,grocery stores,Norway,4.4
#480,Richard Li,$4.4 B,51,telecom,Hong Kong,4.4
#480,John Morris,$4.4 B,70,sporting goods retail,United States,4.4
#480,Theo Mueller,$4.4 B,78,dairy,Germany,4.4
#480,Akio Nitori,$4.4 B,74,home furnishings,Japan,4.4
#480,Wolfgang Reimann,$4.4 B,65,consumer goods,Germany,4.4
#480,Matthias Reimann-Andersen,$4.4 B,53,consumer goods,Germany,4.4
#480,Stefan Reimann-Andersen,$4.4 B,54,consumer goods,Germany,4.4
#480,Renate Reimann-Haas,$4.4 B,66,consumer goods,Germany,4.4
#480,Robert Smith,$4.4 B,55,private equity,United States,4.4
#480,Russ Weiner,$4.4 B,48,energy drinks,United States,4.4
#499,Jeronimo Arango,$4.3 B,92,retail,Mexico,4.3
#499,Rahul Bajaj,$4.3 B,80,motorcycles,India,4.3
#499,Rainer Blickle,$4.3 B,70,auto parts,Germany,4.3
#499,Rocco Commisso,$4.3 B,68,telecom,United States,4.3
#499,Giuseppe De'Longhi,$4.3 B,79,coffee makers,Italy,4.3
#499,Tilman Fertitta,$4.3 B,60,"Houston Rockets, entertainment",United States,4.3
#499,Nathan Kirsh,$4.3 B,86,"retail, real estate",Swaziland,4.3
#499,Terrence Pegula,$4.3 B,67,natural gas,United States,4.3
#499,Robert Pera,$4.3 B,40,wireless networking gear,United States,4.3
#499,Gary Rollins,$4.3 B,73,pest control,United States,4.3
#499,Randall Rollins,$4.3 B,86,pest control,United States,4.3
#499,Alejandro Santo Domingo,$4.3 B,41,beer,United States,4.3
#499,Andres Santo Domingo,$4.3 B,40,beer,United States,4.3
#499,Pham Nhat Vuong,$4.3 B,49,diversified,Vietnam,4.3
#499,Roger Wang,$4.3 B,69,retail,United States,4.3
#514,Stephen Bisciotti,$4.2 B,58,"staffing, Baltimore Ravens",United States,4.2
#514,"Austen Cargill, II.",$4.2 B,67,Cargill,United States,4.2
#514,"James Cargill, II.",$4.2 B,69,Cargill,United States,4.2
#514,Archie Aldis Emmerson,$4.2 B,89,"timberland, lumber mills",United States,4.2
#514,Antti Herlin,$4.2 B,61,"elevators, escalators",Finland,4.2
#514,Sumet Jiaravanon,$4.2 B,83,diversified,Thailand,4.2
#514,Lars Larsen,$4.2 B,69,retail,Denmark,4.2
#514,Marianne Liebmann,$4.2 B,64,Cargill,United States,4.2
#514,Bobby Murphy,$4.2 B,29,Snapchat,United States,4.2
#514,Igor Olenicoff,$4.2 B,75,real estate,United States,4.2
#514,"Walter Scott, Jr.",$4.2 B,87,"utilities, telecom",United States,4.2
#514,"Clemmie Spangler, Jr.",$4.2 B,86,investments,United States,4.2
#514,Wang Yusuo,$4.2 B,54,natural gas distribution,China,4.2
#527,Carl Bennet,$4.1 B,66,investments,Sweden,4.1
#527,Arthur Blank,$4.1 B,75,Home Depot,United States,4.1
#527,Jaran Chiaravanont,$4.1 B,88,diversified,Thailand,4.1
#527,Jack & Laura Dangermond,$4.1 B,72,mapping software,United States,4.1
#527,Fan Hongwei,$4.1 B,51,petrochemicals,China,4.1
#527,John Gandel,$4.1 B,83,shopping malls,Australia,4.1
#527,James Jannard,$4.1 B,69,sunglasses,United States,4.1
#527,Montri Jiaravanont,$4.1 B,87,diversified,Thailand,4.1
#527,Samuel Tak Lee,$4.1 B,79,real estate,Hong Kong,4.1
#527,Pawan Munjal,$4.1 B,64,motorcycles,India,4.1
#527,Axel Oberwelland,$4.1 B,51,candy,Germany,4.1
#527,James Packer,$4.1 B,50,casinos,Australia,4.1
#527,Isaac Perlmutter,$4.1 B,75,Marvel comics,United States,4.1
#527,"H. Ross Perot, Sr.",$4.1 B,87,"computer services, real estate",United States,4.1
#527,Michael Pieper,$4.1 B,72,kitchen appliances,Switzerland,4.1
#527,Thomas Pritzker,$4.1 B,68,"hotels, investments",United States,4.1
#527,"Julian Robertson, Jr.",$4.1 B,85,hedge funds,United States,4.1
#527,Renzo Rosso,$4.1 B,62,fashion,Italy,4.1
#527,Hussain Sajwani,$4.1 B,65,real estate,United Arab Emirates,4.1
#527,Yasumitsu Shigeta,$4.1 B,53,mobile phone retailer,Japan,4.1
#527,Evan Spiegel,$4.1 B,28,Snapchat,United States,4.1
#527,Wang Xing,$4.1 B,45,e-commerce,China,4.1
#527,Kelcy Warren,$4.1 B,62,pipelines,United States,4.1
#550,Ben Ashkenazy,$4 B,48,real estate,United States,4
#550,Ursula Bechtolsheimer-Kipp,$4 B,-,retail,Germany,4
#550,Otto Philipp Braun,$4 B,40,medical technology,Germany,4
#550,Che Jianxing,$4 B,51,furniture retailing,China,4
#550,Dagmar Dolby,$4 B,76,Dolby Laboratories,United States,4
#550,Traudl Engelhorn,$4 B,91,"pharmaceuticals, medical equipment",Germany,4
#550,Dan Friedkin,$4 B,53,Toyota dealerships,United States,4
#550,Sergei Galitsky,$4 B,50,retail,Russia,4
#550,Huang Rulun,$4 B,66,real estate,China,4
#550,Erman Ilicak,$4 B,50,construction,Turkey,4
#550,Ronald Lauder,$4 B,74,Estee Lauder,United States,4
#550,Michel Leclercq,$4 B,79,sporting goods,France,4
#550,Michael Moritz,$4 B,63,venture capital,United States,4
#550,Issad Rebrab,$4 B,74,food,Algeria,4
#550,Naguib Sawiris,$4 B,64,telecom,Egypt,4
#550,Richard Schulze,$4 B,77,Best Buy,United States,4
#550,B.R. Shetty,$4 B,76,healthcare,India,4
#550,Jeff Sutton,$4 B,58,real estate,United States,4
#550,Tony Tan Caktiong,$4 B,65,food,Philippines,4
#550,Yu Huijiao,$4 B,52,package delivery,China,4
#550,Zhang Xuexin,$4 B,70,aluminum,China,4
#550,Zhang Yiming,$4 B,34,software,China,4
#572,Suhail Bahwan,$3.9 B,79,diversified,Oman,3.9
#572,Rick Caruso,$3.9 B,59,real estate,United States,3.9
#572,Tom Gores,$3.9 B,53,private equity,United States,3.9
#572,Peter Hargreaves,$3.9 B,71,financial services,United Kingdom,3.9
#572,Daniela Herz,$3.9 B,64,coffee,Germany,3.9
#572,Guenter Herz,$3.9 B,77,coffee,Germany,3.9
#572,Masatoshi Ito,$3.9 B,94,retail,Japan,3.9
#572,Barry Lam,$3.9 B,69,electronics,Taiwan,3.9
#572,Sudhir & Samir Mehta,$3.9 B,-,diversified,India,3.9
#572,Ravi Pillai,$3.9 B,64,construction,India,3.9
#572,Stewart and Lynda Resnick,$3.9 B,-,"agriculture, water",United States,3.9
#572,Jerry Speyer,$3.9 B,77,real estate,United States,3.9
#572,Harry Stine,$3.9 B,76,agriculture,United States,3.9
#572,George Ty,$3.9 B,85,banking,Philippines,3.9
#572,Steven Udvar-Hazy,$3.9 B,72,aircraft leasing,United States,3.9
#572,Christoph Zeller,$3.9 B,61,dental implants,Liechtenstein,3.9
#588,Nathan Blecharczyk,$3.8 B,35,Airbnb,United States,3.8
#588,Hubert Burda,$3.8 B,78,publishing,Germany,3.8
#588,Chen Dongsheng,$3.8 B,60,insurance,China,3.8
#588,Brian Chesky,$3.8 B,36,Airbnb,United States,3.8
#588,Gustaf Douglas,$3.8 B,80,investments,Sweden,3.8
#588,Joe Gebbia,$3.8 B,36,Airbnb,United States,3.8
#588,Peter Gilgan,$3.8 B,67,homebuilding,Canada,3.8
#588,Jeff Greene,$3.8 B,63,"real estate, investments",United States,3.8
#588,Jiang Weiping,$3.8 B,63,chemicals,China,3.8
#588,Dominika & Sebastian Kulczyk,$3.8 B,-,diversified,Poland,3.8
#588,Li Wa,$3.8 B,52,real estate,Hong Kong,3.8
#588,Robert McNair,$3.8 B,81,"energy, sports",United States,3.8
#588,Masahiro Miki,$3.8 B,62,shoes,Japan,3.8
#588,Katharina Otto-Bernstein,$3.8 B,-,real estate,Germany,3.8
#588,Ira Rennert,$3.8 B,84,investments,United States,3.8
#588,Henry Samueli,$3.8 B,63,semiconductors,United States,3.8
#588,Zeng Fangqin,$3.8 B,52,smartphone components,China,3.8
#588,Zhang Jin,$3.8 B,46,diversified,China,3.8
#606,Nick Caporella,$3.7 B,82,beverages,United States,3.7
#606,Mark Cuban,$3.7 B,59,online media,United States,3.7
#606,Ken Fisher,$3.7 B,67,money management,United States,3.7
#606,Jaime Gilinski Bacal,$3.7 B,60,banking,Colombia,3.7
#606,Andreas Halvorsen,$3.7 B,57,hedge funds,Norway,3.7
#606,H. Fisk Johnson,$3.7 B,60,cleaning products,United States,3.7
#606,Imogene Powers Johnson,$3.7 B,87,cleaning products,United States,3.7
#606,S. Curtis Johnson,$3.7 B,63,cleaning products,United States,3.7
#606,Helen Johnson-Leipold,$3.7 B,61,cleaning products,United States,3.7
#606,Winifred Johnson-Marquart,$3.7 B,59,cleaning products,United States,3.7
#606,Viatcheslav Kantor,$3.7 B,64,"fertilizer, real estate",Russia,3.7
#606,Samvel Karapetyan,$3.7 B,52,real estate,Russia,3.7
#606,Marc Ladreit de Lacharriere,$3.7 B,77,finance,France,3.7
#606,Angela Leong,$3.7 B,57,casinos,Hong Kong,3.7
#606,Li Gaiteng,$3.7 B,46,hair dryers,China,3.7
#606,Mangal Prabhat Lodha,$3.7 B,62,real estate,India,3.7
#606,Michael Milken,$3.7 B,71,investments,United States,3.7
#606,Yuri Milner,$3.7 B,56,tech investments,Russia,3.7
#606,Andreas Struengmann,$3.7 B,68,pharmaceuticals,Germany,3.7
#606,Thomas Struengmann,$3.7 B,68,pharmaceuticals,Germany,3.7
#606,Tse Ping,$3.7 B,66,pharmaceuticals,China,3.7
#606,Yitzhak Tshuva,$3.7 B,69,real estate,Israel,3.7
#606,Samuel Yin,$3.7 B,67,diversified,Taiwan,3.7
#629,Michael Ashley,$3.6 B,53,sports retailing,United Kingdom,3.6
#629,Cao Longxiang,$3.6 B,60,pharmaceuticals,China,3.6
#629,Jeffery Hildebrand,$3.6 B,59,oil,United States,3.6
#629,Jiang Rensheng,$3.6 B,64,vaccine production,China,3.6
#629,"Edward Johnson, IV.",$3.6 B,53,money management,United States,3.6
#629,Elizabeth Johnson,$3.6 B,55,money management,United States,3.6
#629,Peter Kellogg,$3.6 B,75,investments,United States,3.6
#629,Lim Sung-Ki,$3.6 B,78,pharmaceuticals,South Korea,3.6
#629,Friedhelm Loh,$3.6 B,71,manufacturing,Germany,3.6
#629,Kiran Mazumdar-Shaw,$3.6 B,65,biotech,India,3.6
#629,Idan Ofer,$3.6 B,62,"drilling, shipping",Israel,3.6
#629,Karsanbhai Patel,$3.6 B,74,consumer goods,India,3.6
#629,Qin Yinglin,$3.6 B,53,pig breeding,China,3.6
#629,Qiu Guanghe,$3.6 B,66,fashion retail,China,3.6
#629,Sarath Ratanavadi,$3.6 B,52,energy,Thailand,3.6
#629,Rodger Riney,$3.6 B,72,discount brokerage,United States,3.6
#629,Steven Spielberg,$3.6 B,71,Movies,United States,3.6
#629,Gabriele Volkmann,$3.6 B,-,auto parts,Germany,3.6
#629,Arne Wilhelmsen,$3.6 B,88,cruise ships,Norway,3.6
#629,Xu Jingren,$3.6 B,73,pharmaceuticals,China,3.6
#629,Zhang Li,$3.6 B,65,real estate,China,3.6
#629,Zhang Xin,$3.6 B,52,real estate,China,3.6
#629,Anita Zucker,$3.6 B,66,chemicals,United States,3.6
#652,Carlo Benetton,$3.5 B,74,"fashion retail, investments",Italy,3.5
#652,Gilberto Benetton,$3.5 B,77,"fashion retail, investments",Italy,3.5
#652,Giuliana Benetton,$3.5 B,80,"fashion retail, investments",Italy,3.5
#652,Luciano Benetton,$3.5 B,83,"fashion retail, investments",Italy,3.5
#652,Chen Bang,$3.5 B,52,hospitals,China,3.5
#652,Kuldip Singh & Gurbachan Singh Dhingra,$3.5 B,-,paints,India,3.5
#652,Abilio dos Santos Diniz,$3.5 B,81,retail,Brazil,3.5
#652,Bernard Ecclestone,$3.5 B,87,Formula One,United Kingdom,3.5
#652,Judy Faulkner,$3.5 B,74,health IT,United States,3.5
#652,Gao Tianguo,$3.5 B,66,"real estate, finance",China,3.5
#652,Joshua Harris,$3.5 B,53,private equity,United States,3.5
#652,Arthur Irving,$3.5 B,88,oil,Canada,3.5
#652,Baba Kalyani,$3.5 B,69,engineering,India,3.5
#652,Dmitry Kamenshchik,$3.5 B,50,airport,Russia,3.5
#652,Douglas Leone,$3.5 B,60,venture capital,United States,3.5
#652,Edwin Leong,$3.5 B,66,real estate,Hong Kong,3.5
#652,Arnon Milchan,$3.5 B,73,movie making,Israel,3.5
#652,Maren Otto,$3.5 B,-,"retail, real estate",Germany,3.5
#652,Anthony Pritzker,$3.5 B,57,"hotels, investments",United States,3.5
#652,Jay Robert (J.B.) Pritzker,$3.5 B,53,"hotels, investments",United States,3.5
#652,Mitchell Rales,$3.5 B,61,"manufacturing, investments",United States,3.5
#652,Kjell Inge Rokke,$3.5 B,59,"shipping, seafood",Norway,3.5
#652,"Bernard Saul, II.",$3.5 B,86,"banking, real estate",United States,3.5
#652,Donald Sterling,$3.5 B,84,real estate,United States,3.5
#652,Tahir,$3.5 B,66,diversified,Indonesia,3.5
#652,Chairul Tanjung,$3.5 B,56,diversified,Indonesia,3.5
#652,Clemens Toennies,$3.5 B,62,meat processing,Germany,3.5
#679,Somphote Ahunai,$3.4 B,51,energy,Thailand,3.4
#679,Igor Altushkin,$3.4 B,47,metals,Russia,3.4
#679,Riley Bechtel,$3.4 B,66,"engineering, construction",United States,3.4
#679,"Stephen Bechtel, Jr.",$3.4 B,93,"engineering, construction",United States,3.4
#679,Mike Cannon-Brookes,$3.4 B,38,software,Australia,3.4
#679,Rafael Del Pino y Calvo-Sotelo,$3.4 B,59,construction,Spain,3.4
#679,Antonio Del Valle Ruiz,$3.4 B,79,chemicals,Mexico,3.4
#679,Scott Farquhar,$3.4 B,38,software,Australia,3.4
#679,Lindsay Fox,$3.4 B,81,"logistics, real estate",Australia,3.4
#679,Jimmy Haslam,$3.4 B,64,"gas stations, retail",United States,3.4
#679,Heidi Horten,$3.4 B,77,retail,Austria,3.4
#679,Min Kao,$3.4 B,69,navigation equipment,United States,3.4
#679,Melissa Ma,$3.4 B,48,internet search,China,3.4
#679,Rudolf Maag,$3.4 B,72,medical devices,Switzerland,3.4
#679,Alexander Ponomarenko,$3.4 B,53,"real estate, airport",Russia,3.4
#679,Carlos Rodriguez-Pastor,$3.4 B,59,finance,Peru,3.4
#679,Shashi & Ravi Ruia,$3.4 B,-,diversified,India,3.4
#679,Teddy Sagi,$3.4 B,46,gambling software,Israel,3.4
#679,Shaul Shani,$3.4 B,63,telecom,Israel,3.4
#679,Alexander Skorobogatko,$3.4 B,50,"real estate, airport",Russia,3.4
#679,Sun Guangxin,$3.4 B,55,diversified,China,3.4
#679,Rita Tong Liu,$3.4 B,69,real estate,Hong Kong,3.4
#679,Juan-Miguel Villar Mir,$3.4 B,86,construction,Spain,3.4
#679,Steve Wynn,$3.4 B,76,"casinos, hotels",United States,3.4
#703,Anil Agarwal,$3.3 B,64,"mining, metals",India,3.3
#703,Abdulla Al Futtaim,$3.3 B,-,"auto dealers, investments",United Arab Emirates,3.3
#703,John Arnold,$3.3 B,44,hedge funds,United States,3.3
#703,Sid Bass,$3.3 B,76,"oil, investments",United States,3.3
#703,Alain Bouchard,$3.3 B,69,retail,Canada,3.3
#703,John Brown,$3.3 B,83,medical equipment,United States,3.3
#703,Vanich Chaiyawan,$3.3 B,86,"insurance, beverages",Thailand,3.3
#703,Chen Lip Keong,$3.3 B,70,"casinos, property, energy",Malaysia,3.3
#703,Charles Cohen,$3.3 B,66,real estate,United States,3.3
#703,Ashwin Dani,$3.3 B,75,paints,India,3.3
#703,Rakesh Gangwal,$3.3 B,64,airline,United States,3.3
#703,Reid Hoffman,$3.3 B,50,LinkedIn,United States,3.3
#703,"Amos Hostetter, Jr.",$3.3 B,81,cable television,United States,3.3
#703,Zarakh Iliev,$3.3 B,51,real estate,Russia,3.3
#703,Ji Qi,$3.3 B,51,"hotels, motels",China,3.3
#703,Kenneth Langone,$3.3 B,82,investments,United States,3.3
#703,Li Sze Lim,$3.3 B,61,real estate,Hong Kong,3.3
#703,George Lindemann,$3.3 B,82,investments,United States,3.3
#703,Liu Zhongtian,$3.3 B,54,aluminum products,China,3.3
#703,Luo Liguo,$3.3 B,62,chemicals,China,3.3
#703,Mary Alice Dorrance Malone,$3.3 B,68,Campbell Soup,United States,3.3
#703,"Henry Nicholas, III.",$3.3 B,58,semiconductors,United States,3.3
#703,God Nisanov,$3.3 B,46,real estate,Russia,3.3
#703,Pat Stryker,$3.3 B,62,medical equipment,United States,3.3
#703,Alexander Svetakov,$3.3 B,50,real estate,Russia,3.3
#703,Hans Peter Wild,$3.3 B,77,flavorings,Switzerland,3.3
#729,Yvonne Bauer,$3.2 B,41,media,Germany,3.2
#729,Patrizio Bertelli,$3.2 B,72,luxury goods,Italy,3.2
#729,Neil Bluhm,$3.2 B,80,real estate,United States,3.2
#729,Andrew & Peggy Cherng,$3.2 B,-,restaurants,United States,3.2
#729,Scott Cook,$3.2 B,65,software,United States,3.2
#729,Leon G. Cooperman,$3.2 B,75,hedge funds,United States,3.2
#729,John Paul DeJoria,$3.2 B,74,"hair products, tequila",United States,3.2
#729,Martin Ebner,$3.2 B,72,investments,Switzerland,3.2
#729,Walter Faria,$3.2 B,63,beer,Brazil,3.2
#729,Sameer Gehlaut,$3.2 B,44,finance,India,3.2
#729,Tom Golisano,$3.2 B,76,payroll services,United States,3.2
#729,Otto Happel,$3.2 B,70,engineering,Germany,3.2
#729,Jiang Bin,$3.2 B,51,acoustic components,China,3.2
#729,Karel Komarek,$3.2 B,49,lotteries,Czech Republic,3.2
#729,Kurt Krieger,$3.2 B,70,furniture retailing,Germany,3.2
#729,Timur Kulibaev,$3.2 B,51,banking,Kazakhstan,3.2
#729,Dinara Kulibaeva,$3.2 B,50,banking,Kazakhstan,3.2
#729,Spiro Latsis,$3.2 B,71,"banking, shipping",Greece,3.2
#729,Daniel Loeb,$3.2 B,56,hedge funds,United States,3.2
#729,Luo Jye,$3.2 B,92,tires,Taiwan,3.2
#729,Ronald McAulay,$3.2 B,82,energy,Hong Kong,3.2
#729,Alain Merieux,$3.2 B,80,pharmaceuticals,France,3.2
#729,Hans Georg Naeder,$3.2 B,56,prosthetics,Germany,3.2
#729,Nie Tengyun,$3.2 B,42,logistics,China,3.2
#729,Daniel Och,$3.2 B,57,hedge funds,United States,3.2
#729,Miuccia Prada,$3.2 B,69,luxury goods,Italy,3.2
#729,Marc Rowan,$3.2 B,55,private equity,United States,3.2
#729,Haim Saban,$3.2 B,73,"TV network, investments",United States,3.2
#729,Alvaro Saieh Bendeck,$3.2 B,68,banking,Chile,3.2
#729,Michael & Reiner Schmidt-Ruthenbeck,$3.2 B,75,retail,Germany,3.2
#729,Lynn Schusterman,$3.2 B,79,"oil & gas, investments",United States,3.2
#729,Mark Shoen,$3.2 B,67,U-Haul,United States,3.2
#729,Michal Solowow,$3.2 B,55,investments,Poland,3.2
#729,Daniel Tsai,$3.2 B,62,finance,Taiwan,3.2
#729,Richard Tsai,$3.2 B,61,finance,Taiwan,3.2
#729,Frank Wang,$3.2 B,37,drones,China,3.2
#729,Meg Whitman,$3.2 B,61,eBay,United States,3.2
#766,John Catsimatidis,$3.1 B,69,"oil, real estate",United States,3.1
#766,Do Won & Jin Sook Chang,$3.1 B,62,fashion retail,United States,3.1
#766,Cheng Cheung Ling,$3.1 B,54,pharmaceuticals,China,3.1
#766,Barry Diller,$3.1 B,76,online media,United States,3.1
#766,Jack Dorsey,$3.1 B,41,Twitter,United States,3.1
#766,Yakir Gabay,$3.1 B,52,real estate,Cyprus,3.1
#766,Allan Goldman,$3.1 B,75,real estate,United States,3.1
#766,Jane Goldman,$3.1 B,62,real estate,United States,3.1
#766,Amy Goldman Fowler,$3.1 B,64,real estate,United States,3.1
#766,Daryl Katz,$3.1 B,56,pharmacies,Canada,3.1
#766,Diane Kemper,$3.1 B,72,real estate,United States,3.1
#766,Vladimir Kim,$3.1 B,57,mining,Kazakhstan,3.1
#766,Lai Meisong,$3.1 B,47,package delivery,China,3.1
#766,Manuel Lao Hernandez,$3.1 B,74,gambling,Spain,3.1
#766,James Leprino,$3.1 B,80,cheese,United States,3.1
#766,Liang Xinjun,$3.1 B,50,conglomerate,China,3.1
#766,Tom Morris,$3.1 B,63,retail,United Kingdom,3.1
#766,Thi Phuong Thao Nguyen,$3.1 B,48,airlines,Vietnam,3.1
#766,Rajan Raheja,$3.1 B,64,diversified,India,3.1
#766,Ren Jianhua,$3.1 B,61,kitchen appliances,China,3.1
#766,Richard Sands,$3.1 B,67,Food & Beverage,United States,3.1
#766,Kerry Stokes,$3.1 B,77,"construction equipment, media",Australia,3.1
#766,Donald Trump,$3.1 B,72,"television, real estate",United States,3.1
#766,Romesh T. Wadhwani,$3.1 B,70,software,United States,3.1
#766,Wang Jian,$3.1 B,64,healthcare services,China,3.1
#791,Clifford Asness,$3 B,51,Investment Management,United States,3
#791,Anne Beaufour,$3 B,54,pharmaceuticals,France,3
#791,Henri Beaufour,$3 B,53,pharmaceuticals,France,3
#791,Tom Benson,$3 B,90,New Orleans Saints,United States,3
#791,Jim Breyer,$3 B,56,venture capital,United States,3
#791,Alejandro Bulgheroni,$3 B,73,oil & gas,Argentina,3
#791,Hasmukh Chudgar,$3 B,84,pharmaceuticals,India,3
#791,Ennio Doris,$3 B,77,financial services,Italy,3
#791,Luis Frias,$3 B,55,mobile payments,Brazil,3
#791,Valentin Gapontsev,$3 B,79,lasers,United States,3
#791,Martin Haefner,$3 B,64,"software, investments",Switzerland,3
#791,Christopher Hohn,$3 B,51,Hedge funds,United Kingdom,3
#791,Johnelle Hunt,$3 B,86,trucking,United States,3
#791,Rakesh Jhunjhunwala,$3 B,57,investments,India,3
#791,Lu Xiangyang,$3 B,55,"automobiles, batteries",China,3
#791,John Middleton,$3 B,63,tobacco,United States,3
#791,Kazuo Okada,$3 B,75,casinos,Japan,3
#791,Jorge Perez,$3 B,68,real estate,United States,3
#791,Prasert Prasarttong-Osoth,$3 B,85,hospitals,Thailand,3
#791,Jean (Gigi) Pritzker,$3 B,55,"hotels, investments",United States,3
#791,Mochtar Riady,$3 B,89,diversified,Indonesia,3
#791,Arkady Rotenberg,$3 B,66,"construction, pipes, banking",Russia,3
#791,Michael Rubin,$3 B,45,online retail,United States,3
